sample_id,text,category,data_source
1,离职员工账号仍然可以访问系统,账号问题,合成演示数据
2,公司印章使用需要哪些审批,制度咨询,合成演示数据
3,数据同步任务连续多次失败,技术问题,合成演示数据
4,系统更新后部分功能不可用,技术问题,合成演示数据
5,上传文件时服务返回错误,技术问题,合成演示数据
6,客户付款时一直显示支付失败,支付问题,合成演示数据
7,所有用户都无法访问服务,技术问题,合成演示数据
8,法定节假日值班如何补偿,制度咨询,合成演示数据
9,搜索功能无法返回任何结果,技术问题,合成演示数据
10,图片上传后无法正常显示,技术问题,合成演示数据
11,支付超时后订单被自动关闭,支付问题,合成演示数据
12,员工离职需要提前多久申请,制度咨询,合成演示数据
13,部门团建预算标准是多少,制度咨询,合成演示数据
14,重复支付后需要申请退款,支付问题,合成演示数据
15,登录状态频繁自动失效,账号问题,合成演示数据
16,新员工试用期通常有多长,制度咨询,合成演示数据
17,请问绩效评估多久进行一次,制度咨询,合成演示数据
18,系统运行速度突然变得很慢,技术问题,合成演示数据
19,海外银行卡无法通过验证,支付问题,合成演示数据
20,外出拜访客户如何登记,制度咨询,合成演示数据
21,用户登录后看不到应有菜单,账号问题,合成演示数据
22,请问年假可以结转到下一年吗,制度咨询,合成演示数据
23,提交表单后页面一直转圈,技术问题,合成演示数据
24,保存设置后内容没有生效,技术问题,合成演示数据
25,登录邮箱已经停用需要更换,账号问题,合成演示数据
26,登录页面一直提示密码错误,账号问题,合成演示数据
27,保密文件的保存期限是多久,制度咨询,合成演示数据
28,请问迟到记录如何计算,制度咨询,合成演示数据
29,需要关闭重复创建的账号,账号问题,合成演示数据
30,团队聚餐费用可以报销吗,制度咨询,合成演示数据
31,账号被错误关联到其他员工,账号问题,合成演示数据
32,订单退款被系统自动驳回,支付问题,合成演示数据
33,同一订单出现两次扣款记录,支付问题,合成演示数据
34,付款后发票一直没有生成,支付问题,合成演示数据
35,请问病假需要提交哪些证明,制度咨询,合成演示数据
36,支付成功后没有收到电子凭证,支付问题,合成演示数据
37,公司电脑可以带回家使用吗,制度咨询,合成演示数据
38,退款已经提交但迟迟没有到账,支付问题,合成演示数据
39,想了解差旅费用报销标准,制度咨询,合成演示数据
40,客户想查询退款处理进度,支付问题,合成演示数据
41,支付完成后积分没有增加,支付问题,合成演示数据
42,客户无法下载付款凭证,支付问题,合成演示数据
43,如何申请参加外部技术会议,制度咨询,合成演示数据
44,需要查询账号的创建进度,账号问题,合成演示数据
45,加班后如何申请调休,制度咨询,合成演示数据
46,员工培训费用需要怎样报销,制度咨询,合成演示数据
47,多次输入正确密码仍提示错误,账号问题,合成演示数据
48,优惠券使用后结算金额计算错误,支付问题,合成演示数据
49,移动端打开页面布局错乱,技术问题,合成演示数据
50,应用程序无法连接内部网络,技术问题,合成演示数据
51,手机更换后无法完成登录验证,账号问题,合成演示数据
52,需要修改账号绑定的手机号,账号问题,合成演示数据
53,支付密码重置后仍无法付款,支付问题,合成演示数据
54,客户端启动后立即闪退,技术问题,合成演示数据
55,验证码正确但系统提示验证失败,账号问题,合成演示数据
56,客户需要修改订单开票信息,支付问题,合成演示数据
57,文件预览功能提示格式不支持,技术问题,合成演示数据
58,企业账户无法完成对公付款,支付问题,合成演示数据
59,忘记密码需要重置登录密码,账号问题,合成演示数据
60,消息通知出现严重延迟,技术问题,合成演示数据
61,婚假可以申请多少天,制度咨询,合成演示数据
62,跨部门借调需要办理什么手续,制度咨询,合成演示数据
63,扫码付款后系统没有生成订单,支付问题,合成演示数据
64,退款金额少于实际支付金额,支付问题,合成演示数据
65,付款验证码正确但交易被拒绝,支付问题,合成演示数据
66,账号提示不存在但昨天还能使用,账号问题,合成演示数据
67,试用期员工能否申请年假,制度咨询,合成演示数据
68,账号权限与所属部门不匹配,账号问题,合成演示数据
69,退款退到了错误的付款账户,支付问题,合成演示数据
70,收不到手机登录验证码,账号问题,合成演示数据
71,银行卡付款页面无法打开,支付问题,合成演示数据
72,客户取消订单后仍然被扣款,支付问题,合成演示数据
73,分期付款选项无法正常选择,支付问题,合成演示数据
74,异地登录触发了账号安全限制,账号问题,合成演示数据
75,余额充足但付款提示余额不足,支付问题,合成演示数据
76,定时任务没有按照计划执行,技术问题,合成演示数据
77,报表统计数字与数据库不一致,技术问题,合成演示数据
78,监控显示服务响应时间过长,技术问题,合成演示数据
79,接口请求持续返回服务器错误,技术问题,合成演示数据
80,实习生账号到期后需要延期,账号问题,合成演示数据
81,员工体检可以选择哪些机构,制度咨询,合成演示数据
82,付款页面提示渠道暂不可用,支付问题,合成演示数据
83,批量导入时程序停止响应,技术问题,合成演示数据
84,无法使用企业统一身份登录,账号问题,合成演示数据
85,员工无法登录内部系统,账号问题,合成演示数据
86,用户资料出现数据丢失,技术问题,合成演示数据
87,下载文件后发现内容已损坏,技术问题,合成演示数据
88,订单合并付款功能出现异常,支付问题,合成演示数据
89,打印功能只生成空白页面,技术问题,合成演示数据
90,支付记录中的交易时间不正确,支付问题,合成演示数据
91,系统日志中出现内存不足,技术问题,合成演示数据
92,远程办公设备由谁提供,制度咨询,合成演示数据
93,工作证丢失后如何补办,制度咨询,合成演示数据
94,系统页面加载后显示空白,技术问题,合成演示数据
95,员工调岗后系统权限没有变化,账号问题,合成演示数据
96,员工转正需要完成哪些流程,制度咨询,合成演示数据
97,数据库连接频繁中断,技术问题,合成演示数据
98,在家办公需要满足哪些条件,制度咨询,合成演示数据
99,出差住宿费用的上限是多少,制度咨询,合成演示数据
100,登录时页面提示账号状态异常,账号问题,合成演示数据
101,账号可以登录但无法修改个人资料,账号问题,合成演示数据
102,浏览器升级后页面按钮失效,技术问题,合成演示数据
103,网页刷新后重复提交了数据,技术问题,合成演示数据
104,新员工的系统账号还没有开通,账号问题,合成演示数据
105,收款账户显示的信息有误,支付问题,合成演示数据
106,交通补贴的发放规则是什么,制度咨询,合成演示数据
107,修改密码后仍然无法进入系统,账号问题,合成演示数据
108,采购办公用品需要谁审批,制度咨询,合成演示数据
109,服务重新启动后配置丢失,技术问题,合成演示数据
110,试用期工资按照什么规则发放,制度咨询,合成演示数据
111,同一个账号无法在新电脑登录,账号问题,合成演示数据
