ticket_id,title,description,creator,category,priority,created_at
1001,账号登录失败,员工无法登录内部系统, 小林 ,账号,,2026-09-01 09:10:00
1002,报销制度咨询,想了解差旅报销标准,小周,制度咨询,普通,2026-09-01 10:20:00
1003,客户支付异常,客户付款时一直显示支付失败,小陈,支付,紧急,2026-09-01 11:05:00
1004,修改联系方式, 如何修改绑定手机号 ,小李,账号问题,普通,2026-09-02 08:30:00
1004,修改联系方式, 如何修改绑定手机号 ,小李,账号问题,普通,2026-09-02 08:30:00
1005,客户端报错,,小王,技术问题,普通,2026-09-02 09:00:00
1006,服务中断,所有用户都无法使用服务,小赵,系统故障,紧急,2026-13-40 10:00:00
1007,密码重置,忘记密码如何重置,,账号问题,普通,2026-09-03 14:10:00
1008,订单查询,订单状态长时间未更新,小刘,,普通,2026-09-04 09:25:00
1009,数据异常,用户资料出现数据丢失,小孙,技术,,2026-09-04 15:40:00
1009,重复编号,测试重复编号处理,小吴,其他,普通,2026-09-04 16:00:00
1010,功能建议,希望增加批量导出功能,小郑,产品建议,普通,2026-09-05 11:00:00
1011,空格问题,   如何修改邮箱地址？   , 小钱 ,账号,普通,2026-09-05 13:30:00

