question,expected_source,should_find
新员工入职后多久能拿到账号,account_policy.md,是
账号连续验证失败会锁多久,account_policy.md,是
员工调岗以后权限怎么处理,account_policy.md,是
离职账号中的数据会保留多长时间,account_policy.md,是
一线城市出差住宿每晚最多多少钱,reimbursement_policy.md,是
报销发票丢失以后怎么办,reimbursement_policy.md,是
费用发生后多少天内要提交报销,reimbursement_policy.md,是
客户招待费用需要谁批准,reimbursement_policy.md,是
付款成功但订单仍未支付应该怎么办,payment_guide.md,是
一个订单重复扣款如何退款,payment_guide.md,是
银行卡退款一般多久可以到账,payment_guide.md,是
电子发票什么时候可以申请,payment_guide.md,是
提交系统故障需要提供哪些资料,technical_guide.md,是
核心服务完全不可用属于什么等级,technical_guide.md,是
上传文件大小有什么限制,technical_guide.md,是
系统每周什么时候进行维护,technical_guide.md,是
公司食堂今天中午吃什么,,否
办公楼停车位如何申请,,否
员工生日会安排在几月,,否
公司是否允许在办公室养宠物,,否

